step,substep,layer_index,gamma,tau,kt_exact,branch_id,reason_code,gamma_m_global,f_mrdf,g_ref,g_t_ref,reload_factor,branch_kind
13,2,0,-9.4957908111e-11,-4.8398074942e-05,2.6846613615e+05,,1,,,,,,
13,3,0,-1.2595922019e-10,-6.4198944430e-05,2.6361069625e+05,,1,,,,,,
14,0,0,-1.8882044627e-10,-9.6238278993e-05,2.6469532918e+05,,1,,,,,,
14,1,0,-2.7464941508e-10,-1.3998385160e-04,2.6617625531e+05,,1,,,,,,
14,2,0,-3.6856093736e-10,-1.8784890770e-04,2.6779663896e+05,,1,,,,,,
14,3,0,-4.5204385772e-10,-2.3039863810e-04,2.6923708198e+05,,1,,,,,,
15,0,0,-5.0665172313e-10,-2.5823125115e-04,2.7017930399e+05,,1,,,,,,
15,1,0,-5.1826267150e-10,-2.6414913292e-04,2.7037964301e+05,,1,,,,,,
15,2,0,-4.8095697329e-10,-2.4513502021e-04,2.6372991809e+05,,1,,,,,,
15,3,0,-3.9940851260e-10,-2.0357111839e-04,2.6515981650e+05,,1,,,,,,
16,0,0,-2.8910858656e-10,-1.4735314293e-04,2.6709385033e+05,,1,,,,,,
16,1,0,-1.7413517417e-10,-8.8753260969e-05,2.6910982743e+05,,1,,,,,,
16,2,0,-8.2361144869e-11,-4.1977752896e-05,2.7071901755e+05,,1,,,,,,
16,3,0,-3.8918175284e-11,-1.9835703174e-05,2.7148075737e+05,,1,,,,,,
17,0,0,-5.9516957059e-11,-3.0334571229e-05,2.6343043479e+05,,1,,,,,,
17,1,0,-1.4546656551e-10,-7.4141674519e-05,2.6491022310e+05,,1,,,,,,
17,2,0,-2.8176955135e-10,-1.4361296455e-04,2.6725693841e+05,,1,,,,,,
17,3,0,-4.3898549027e-10,-2.2374307144e-04,2.6996370463e+05,,1,,,,,,
18,0,0,-5.7920992692e-10,-2.9521277742e-04,2.7237792553e+05,,1,,,,,,
18,1,0,-6.6523908105e-10,-3.3906012152e-04,2.7385907296e+05,,1,,,,,,
18,2,0,-6.7065828153e-10,-3.4182217824e-04,2.7395237424e+05,,1,,,,,,
18,3,0,-5.8810232707e-10,-2.9974475273e-04,2.6453155909e+05,,1,,,,,,
19,0,0,-4.3295484057e-10,-2.2066873307e-04,2.6726738897e+05,,1,,,,,,
19,1,0,-2.4145352018e-10,-1.2306401584e-04,2.7064426470e+05,,1,,,,,,
19,2,0,-6.3354929031e-11,-3.2290652010e-05,2.7378479281e+05,,1,,,,,,
19,3,0,5.0405672807e-11,2.5690783889e-05,2.7579080334e+05,,1,,,,,,
20,0,0,6.2102487946e-11,3.1652404601e-05,2.7599706029e+05,,1,,,,,,
20,1,0,-4.0806424254e-11,-2.0798585568e-05,2.6484915632e+05,,1,,,,,,
20,2,0,-2.4007239985e-10,-1.2236099195e-04,2.6828298420e+05,,1,,,,,,
20,3,0,-4.8890329766e-10,-2.4918540093e-04,2.7257092086e+05,,1,,,,,,
21,0,0,-7.2179786124e-10,-3.6788698172e-04,2.7658422425e+05,,1,,,,,,
21,1,0,-8.7145940560e-10,-4.4416620658e-04,2.7916322661e+05,,1,,,,,,
21,2,0,-8.8856189252e-10,-4.5288296149e-04,2.7945794029e+05,,1,,,,,,
21,3,0,-7.5791196547e-10,-3.8629284357e-04,2.6539804855e+05,,1,,,,,,
22,0,0,-5.0544559722e-10,-2.5761522720e-04,2.6988554771e+05,,1,,,,,,
22,1,0,-1.9437270734e-10,-9.9067520374e-05,2.7541473517e+05,,1,,,,,,
22,2,0,8.8779071002e-11,4.5248761076e-05,2.8044761610e+05,,1,,,,,,
22,3,0,2.5751569172e-10,1.3124986812e-04,2.8344681555e+05,,1,,,,,,
23,0,0,2.5192753597e-10,1.2840167465e-04,2.6317281193e+05,,1,,,,,,
23,1,0,5.8632403882e-11,2.9882373244e-05,2.6652892191e+05,,1,,,,,,
23,2,0,-2.8153987887e-10,-1.4349714101e-04,2.7243518263e+05,,1,,,,,,
23,3,0,-6.7991036520e-10,-3.4653819940e-04,2.7935187824e+05,,1,,,,,,
24,0,0,-1.0214977244e-09,-5.2063723075e-04,2.8528264865e+05,,1,,,,,,
24,1,0,-1.1979816221e-09,-6.1058660501e-04,2.8834681880e+05,,1,,,,,,
24,2,0,-1.1420249205e-09,-5.8206638053e-04,2.6408146402e+05,,1,,,,,,
24,3,0,-8.5046832545e-10,-4.3346506329e-04,2.6932142838e+05,,1,,,,,,
25,0,0,-3.8998818587e-10,-1.9876757799e-04,2.7759730642e+05,,1,,,,,,
25,1,0,1.1537291656e-10,5.8803114111e-05,2.8667973633e+05,,1,,,,,,
25,2,0,5.1648129457e-10,2.6323735895e-04,2.9388847402e+05,,1,,,,,,
25,3,0,6.8461328486e-10,3.4892941413e-04,2.9691013763e+05,,1,,,,,,
26,0,0,5.5447391611e-10,2.8259951872e-04,2.6537182706e+05,,1,,,,,,
26,1,0,1.4809649341e-10,7.5476385923e-05,2.7254149058e+05,,1,,,,,,
26,2,0,-4.2563811147e-10,-2.1694369288e-04,2.8266374653e+05,,1,,,,,,
26,3,0,-9.9411931058e-10,-5.0668397779e-04,2.9269323900e+05,,1,,,,,,
27,0,0,-1.3689993711e-09,-6.9774950470e-04,2.9930705897e+05,,1,,,,,,
27,1,0,-1.4072701893e-09,-7.1725497942e-04,2.9998224980e+05,,1,,,,,,
27,2,0,-1.0618564588e-09,-5.4120355079e-04,2.6932935607e+05,,1,,,,,,
27,3,0,-4.0064642865e-10,-2.0419854880e-04,2.8130019879e+05,,1,,,,,,
28,0,0,4.0600613849e-10,2.0693128992e-04,2.9590404752e+05,,1,,,,,,
28,1,0,1.1229994086e-09,5.7236024155e-04,3.0888454172e+05,,1,,,,,,
28,2,0,1.5195645064e-09,7.7447545101e-04,3.1606392655e+05,,1,,,,,,
28,3,0,1.4488066109e-09,7.3841130161e-04,2.6436182268e+05,,1,,,,,,
29,0,0,8.9772659932e-10,4.5753599587e-04,2.7437774482e+05,,1,,,,,,
29,1,0,-2.3585800991e-12,-1.2161489781e-06,2.9073669543e+05,,1,,,,,,
29,2,0,-9.9947891610e-10,-5.0941808518e-04,3.0885900674e+05,,1,,,,,,
29,3,0,-1.7884190280e-09,-9.1151187069e-04,3.2319753489e+05,,1,,,,,,
30,0,0,-2.1107516549e-09,-1.0757916914e-03,3.2905569715e+05,,1,,,,,,
30,1,0,-1.8463071763e-09,-9.4100882550e-04,2.6797866557e+05,,1,,,,,,
30,2,0,-1.0542307078e-09,-5.3730391949e-04,2.8266388602e+05,,1,,,,,,
30,3,0,3.7754976688e-11,1.9251012506e-05,3.0290919596e+05,,1,,,,,,
31,0,0,1.0833412788e-09,5.5214935169e-04,3.2229396829e+05,,1,,,,,,
31,1,0,1.7222819320e-09,8.7779088795e-04,3.3413954172e+05,,1,,,,,,
31,2,0,1.7112433100e-09,8.7216467938e-04,2.6327780964e+05,,1,,,,,,
31,3,0,1.0089998184e-09,5.1424423055e-04,2.7612982336e+05,,1,,,,,,
32,0,0,-2.0312088264e-10,-1.0354283408e-04,2.9831298388e+05,,1,,,,,,
32,1,0,-1.5505740136e-09,-7.9029303328e-04,3.2297243054e+05,,1,,,,,,
32,2,0,-2.5669551025e-09,-1.3082986679e-03,3.4157268753e+05,,1,,,,,,
32,3,0,-2.8572222053e-09,-1.4562339405e-03,3.4688466418e+05,,1,,,,,,
33,0,0,-2.2503736539e-09,-1.1469343107e-03,2.7459919483e+05,,1,,,,,,
33,1,0,-8.5675362692e-10,-4.3664197140e-04,3.0106216783e+05,,1,,,,,,
33,2,0,9.5466705260e-10,4.8657107771e-04,3.3545780643e+05,,1,,,,,,
33,3,0,2.6212061101e-09,1.3359218918e-03,3.6710159578e+05,,1,,,,,,
34,0,0,3.5566030395e-09,1.8126374441e-03,3.8486231910e+05,,1,,,,,,
34,1,0,3.3795801638e-09,1.7224118355e-03,2.6650964911e+05,,1,,,,,,
34,2,0,2.0450814493e-09,1.0422477315e-03,2.9239575652e+05,,1,,,,,,
34,3,0,-1.4151249405e-10,-7.2181051635e-05,3.3480937396e+05,,1,,,,,,
35,0,0,-2.5647220857e-09,-1.3071620508e-03,3.8181103540e+05,,1,,,,,,
35,1,0,-4.4508725822e-09,-2.2684018108e-03,4.1839448075e+05,,1,,,,,,
35,2,0,-5.1477592475e-09,-2.6235496690e-03,4.3191091213e+05,,1,,,,,,
35,3,0,-4.3857845176e-09,-2.2351856379e-03,2.7853620281e+05,,1,,,,,,
36,0,0,-2.3349686568e-09,-1.1899466121e-03,3.2014620929e+05,,1,,,,,,
36,1,0,4.6293749093e-10,2.3600814391e-04,3.7691215747e+05,,1,,,,,,
36,2,0,3.1643652786e-09,1.6127338734e-03,4.3171834099e+05,,1,,,,,,
36,3,0,4.8756000708e-09,2.4847987485e-03,4.6634657411e+05,,1,,,,,,
37,0,0,5.0273120921e-09,2.5621118166e-03,4.6885367717e+05,,1,,,,,,
37,1,0,3.5949102337e-09,1.8320476005e-03,2.9204490796e+05,,1,,,,,,
37,2,0,1.0273236706e-09,5.2344482282e-04,3.4397057452e+05,,1,,,,,,
37,3,0,-1.9122458415e-09,-9.7467990070e-04,4.0341651353e+05,,1,,,,,,
38,0,0,-4.2718977168e-09,-2.1772055969e-03,4.5113301177e+05,,1,,,,,,
38,1,0,-5.2485200927e-09,-2.6748990072e-03,4.6984406975e+05,,1,,,,,,
38,2,0,-4.5483535321e-09,-2.3180372586e-03,2.7732055542e+05,,1,,,,,,
38,3,0,-2.4293362086e-09,-1.2380376152e-03,3.2043065289e+05,,1,,,,,,
39,0,0,4.0882088533e-10,2.0843021988e-04,3.7816897498e+05,,1,,,,,,
39,1,0,2.9637689683e-09,1.5105058287e-03,4.3014362408e+05,,1,,,,,,
39,2,0,4.2863345052e-09,2.1845032300e-03,4.5704742082e+05,,1,,,,,,
39,3,0,3.9154593530e-09,1.9954746308e-03,2.7042403623e+05,,1,,,,,,
40,0,0,1.9890060564e-09,1.0136120867e-03,3.0859270823e+05,,1,,,,,,
40,1,0,-8.5507095403e-10,-4.3588664969e-04,3.6494014425e+05,,1,,,,,,
40,2,0,-3.5700863947e-09,-1.8195501252e-03,4.1872831191e+05,,1,,,,,,
40,3,0,-5.0535831168e-09,-2.5755660297e-03,4.4811747174e+05,,1,,,,,,
41,0,0,-4.6795140852e-09,-2.3849095817e-03,2.7064638165e+05,,1,,,,,,
41,1,0,-2.4982092020e-09,-1.2731586038e-03,3.1479183883e+05,,1,,,,,,
41,2,0,8.2951914457e-10,4.2282046713e-04,3.8213584777e+05,,1,,,,,,
41,3,0,4.1052571378e-09,2.0922172626e-03,4.4842432269e+05,,1,,,,,,
42,0,0,5.9678488105e-09,3.0414021128e-03,4.8227254441e+05,,1,,,,,,
42,1,0,5.5540843194e-09,2.8305136635e-03,2.7165385222e+05,,1,,,,,,
42,2,0,2.8404933648e-09,1.4474785846e-03,3.2790996990e+05,,1,,,,,,
42,3,0,-1.4328470692e-09,-7.3039295180e-04,4.1649673065e+05,,1,,,,,,
43,0,0,-5.8704204424e-09,-2.9918083144e-03,5.0156723537e+05,,1,,,,,,
43,1,0,-8.7627338090e-09,-4.4656638443e-03,5.0956959772e+05,,1,,,,,,
43,2,0,-8.8779086491e-09,-4.5243528621e-03,5.0956870347e+05,,1,,,,,,
43,3,0,-6.0757569206e-09,-3.0961748566e-03,3.2532005183e+05,,1,,,,,,
44,0,0,-1.1484077624e-09,-5.8500782246e-04,4.3476422718e+05,,1,,,,,,
44,1,0,4.4610892996e-09,2.2735530062e-03,5.0957300019e+05,,1,,,,,,
44,2,0,8.7833668527e-09,4.4759704865e-03,5.0953704502e+05,,1,,,,,,
44,3,0,1.0119554673e-08,5.1567926710e-03,5.0952593134e+05,,1,,,,,,
45,0,0,7.9124422029e-09,4.0318842814e-03,3.1329662830e+05,,1,,,,,,
45,1,0,2.7137531115e-09,1.3824164098e-03,4.3158050151e+05,,1,,,,,,
45,2,0,-4.0271243407e-09,-2.0526592306e-03,5.0956341476e+05,,1,,,,,,
45,3,0,-1.0056810392e-08,-5.1249797025e-03,5.0951203990e+05,,1,,,,,,
46,0,0,-1.3171884918e-08,-6.7120853886e-03,5.0948550436e+05,,1,,,,,,
46,1,0,-1.2270890036e-08,-6.2528662999e-03,2.8357702225e+05,,1,,,,,,
46,2,0,-7.5278937804e-09,-3.8355741413e-03,3.9149387786e+05,,1,,,,,,
46,3,0,-2.1679559466e-10,-1.0982503435e-04,5.0957357098e+05,,1,,,,,,
47,0,0,7.3413359226e-09,3.7413164804e-03,5.0950917293e+05,,1,,,,,,
47,1,0,1.2519500083e-08,6.3794873908e-03,5.0946506672e+05,,1,,,,,,
47,2,0,1.3609710835e-08,6.9348977713e-03,5.0945578202e+05,,1,,,,,,
47,3,0,1.0379738350e-08,5.2886785684e-03,3.3657013883e+05,,1,,,,,,
48,0,0,3.8061947732e-09,1.9386270704e-03,4.8613096349e+05,,1,,,,,,
48,1,0,-4.1660000765e-09,-2.1237019654e-03,5.0953249263e+05,,1,,,,,,
48,2,0,-1.0883026194e-08,-5.5460088931e-03,5.0947527253e+05,,1,,,,,,
48,3,0,-1.4113541955e-08,-7.1918062471e-03,5.0944775949e+05,,1,,,,,,
49,0,0,-1.3001270881e-08,-6.6249049433e-03,2.8838435219e+05,,1,,,,,,
49,1,0,-7.9652041276e-09,-4.0582638355e-03,4.0296869008e+05,,1,,,,,,
49,2,0,-5.0312642620e-10,-2.5561350545e-04,5.0956798643e+05,,1,,,,,,
49,3,0,6.8686391429e-09,3.5005312257e-03,5.0950517801e+05,,1,,,,,,
50,0,0,1.1565239934e-08,5.8933457866e-03,5.0946517408e+05,,1,,,,,,
50,1,0,1.2179965213e-08,6.2065203552e-03,5.0945993875e+05,,1,,,,,,
50,2,0,8.7802324783e-09,4.4737820416e-03,3.4043277555e+05,,1,,,,,,
50,3,0,2.5370850721e-09,1.2921094143e-03,4.8247652705e+05,,1,,,,,,
51,0,0,-4.5340323752e-09,-2.3111028131e-03,5.0954153863e+05,,1,,,,,,
51,1,0,-1.0005991126e-08,-5.0991325897e-03,5.0949492100e+05,,1,,,,,,
51,2,0,-1.2140289677e-08,-6.1865120988e-03,5.0947674148e+05,,1,,,,,,
51,3,0,-1.0522708026e-08,-5.3620681735e-03,2.9988204725e+05,,1,,,,,,
52,0,0,-5.8294327955e-09,-2.9701452711e-03,4.0666644249e+05,,1,,,,,,
52,1,0,3.8496607897e-10,1.9671733856e-04,5.0957723391e+05,,1,,,,,,
52,2,0,5.9464337274e-09,3.0305564875e-03,5.0952984483e+05,,1,,,,,,
52,3,0,8.9755909983e-09,4.5739450514e-03,5.0950403887e+05,,1,,,,,,
53,0,0,8.7127999183e-09,4.4400049413e-03,2.6892592457e+05,,1,,,,,,
53,1,0,5.4907305468e-09,2.7978199706e-03,3.4065207783e+05,,1,,,,,,
53,2,0,5.0160743330e-10,2.5520181600e-04,4.5170670611e+05,,1,,,,,,
53,3,0,-4.4472970114e-09,-2.2667069282e-03,5.0957206070e+05,,1,,,,,,
54,0,0,-7.6301633706e-09,-3.8885496640e-03,5.0954552596e+05,,1,,,,,,
54,1,0,-8.1465469585e-09,-4.1516668024e-03,5.0954122138e+05,,1,,,,,,
54,2,0,-6.1762217196e-09,-3.1474400498e-03,3.0613175264e+05,,1,,,,,,
54,3,0,-2.7327665469e-09,-1.3924740821e-03,3.8137547604e+05,,1,,,,,,
55,0,0,8.1776141978e-10,4.1695632066e-04,4.5895435528e+05,,1,,,,,,
55,1,0,3.1845343382e-09,1.6230585398e-03,5.0565893518e+05,,1,,,,,,
55,2,0,3.6469604066e-09,1.8587042799e-03,5.0958745281e+05,,1,,,,,,
55,3,0,2.3305900505e-09,1.1877779545e-03,2.8867870503e+05,,1,,,,,,
56,0,0,1.1675886606e-11,5.9081291543e-06,3.3377950408e+05,,1,,,,,,
56,1,0,-2.2107130411e-09,-1.1267278060e-03,3.7700150532e+05,,1,,,,,,
56,2,0,-3.3202464100e-09,-1.6921851582e-03,3.9857966234e+05,,1,,,,,,
56,3,0,-2.8442274221e-09,-1.4495667492e-03,2.7224432649e+05,,1,,,,,,
57,0,0,-9.8880461269e-10,-5.0390703498e-04,3.0798076541e+05,,1,,,,,,
57,1,0,1.4681628835e-09,7.4830415079e-04,3.5530176392e+05,,1,,,,,,
57,2,0,3.3463975599e-09,1.7055293447e-03,3.9147525106e+05,,1,,,,,,
57,3,0,3.5996550486e-09,1.8345976857e-03,3.9635273617e+05,,1,,,,,,
58,0,0,1.9047724487e-09,9.7075404133e-04,2.9599439343e+05,,1,,,,,,
58,1,0,-1.2761441478e-09,-6.5042896011e-04,3.5777302459e+05,,1,,,,,,
58,2,0,-4.8556968859e-09,-2.4746886928e-03,4.2729031328e+05,,1,,,,,,
58,3,0,-7.3185723984e-09,-3.7297959400e-03,4.7166497674e+05,,1,,,,,,
59,0,0,-7.3993487049e-09,-3.7709596156e-03,4.7292977354e+05,,1,,,,,,
59,1,0,-4.8214269847e-09,-2.4570619317e-03,3.1843820039e+05,,1,,,,,,
59,2,0,-2.8452693659e-10,-1.4486031009e-04,4.1586517129e+05,,1,,,,,,
59,3,0,4.7812900934e-09,2.4366971997e-03,5.0958600199e+05,,1,,,,,,
60,0,0,8.3999912744e-09,4.2806683173e-03,5.0955689629e+05,,1,,,,,,
60,1,0,8.9361283907e-09,4.5538568582e-03,5.0955258447e+05,,1,,,,,,
60,2,0,6.0462135316e-09,3.0809495906e-03,3.2735261040e+05,,1,,,,,,
60,3,0,5.7445022186e-10,2.9234545590e-04,4.4904570138e+05,,1,,,,,,
61,0,0,-5.7469293093e-09,-2.9289310595e-03,5.0956166057e+05,,1,,,,,,
61,1,0,-1.0494759554e-08,-5.3481243658e-03,5.0952211724e+05,,1,,,,,,
61,2,0,-1.1638604798e-08,-5.9309262840e-03,5.0951259181e+05,,1,,,,,,
61,3,0,-8.6226488244e-09,-4.3937819670e-03,3.3169961327e+05,,1,,,,,,
62,0,0,-2.2807106753e-09,-1.1617442320e-03,4.7598979238e+05,,1,,,,,,
62,1,0,5.4054485168e-09,2.7548718149e-03,5.0953872851e+05,,1,,,,,,
62,2,0,1.1542627921e-08,5.8818037467e-03,5.0948644606e+05,,1,,,,,,
62,3,0,1.3614437011e-08,6.9373285879e-03,5.0946879990e+05,,1,,,,,,
63,0,0,1.0725084091e-08,5.4647085189e-03,3.2881982991e+05,,1,,,,,,
63,1,0,3.6341642020e-09,1.8509832476e-03,4.9015196966e+05,,1,,,,,,
63,2,0,-5.4746444432e-09,-2.7904612726e-03,5.0952130322e+05,,1,,,,,,
63,3,0,-1.3343393047e-08,-6.7994365201e-03,5.0945427823e+05,,1,,,,,,
64,0,0,-1.6966114593e-08,-8.6449593812e-03,5.0942342896e+05,,1,,,,,,
64,1,0,-1.4952406775e-08,-7.6186226416e-03,3.0889516630e+05,,1,,,,,,
64,2,0,-7.7382512458e-09,-3.9420412584e-03,4.7303106370e+05,,1,,,,,,
64,3,0,2.5373153840e-09,1.2939466954e-03,5.0951777565e+05,,1,,,,,,
65,0,0,1.2281625495e-08,6.2583680013e-03,5.0943478152e+05,,1,,,,,,
65,1,0,1.7853070447e-08,9.0964684820e-03,5.0938734612e+05,,1,,,,,,
65,2,0,1.7201581047e-08,8.7644166343e-03,2.7789997201e+05,,1,,,,,,
65,3,0,1.0275624748e-08,5.2346193105e-03,4.3548492712e+05,,1,,,,,,
66,0,0,-1.0120843259e-09,-5.1722706868e-04,5.0952321125e+05,,1,,,,,,
66,1,0,-1.2849736499e-08,-6.5480980067e-03,5.0942238843e+05,,1,,,,,,
66,2,0,-2.0885857786e-08,-1.0641516899e-02,5.0935397677e+05,,1,,,,,,
66,3,0,-2.2213739234e-08,-1.1317854910e-02,5.0934267506e+05,,1,,,,,,
67,0,0,-1.6319285687e-08,-8.3136997455e-03,3.9719154572e+05,,1,,,,,,
67,1,0,-4.8724954893e-09,-2.4806287270e-03,5.0953619737e+05,,1,,,,,,
67,2,0,8.6414505116e-09,4.4043373091e-03,5.0942109550e+05,,1,,,,,,
67,3,0,1.9592054004e-08,9.9821722656e-03,5.0932788168e+05,,1,,,,,,
68,0,0,2.4122124466e-08,1.2289314416e-02,5.0928933526e+05,,1,,,,,,
68,1,0,2.0712808765e-08,1.0551692106e-02,3.4065029138e+05,,1,,,,,,
68,2,0,1.0244209074e-08,5.2168137578e-03,5.0956570594e+05,,1,,,,,,
68,3,0,-4.1661107493e-09,-2.1252123992e-03,5.0944294968e+05,,1,,,,,,
69,0,0,-1.7687440089e-08,-9.0126334413e-03,5.0932784451e+05,,1,,,,,,
69,1,0,-2.5723752182e-08,-1.3105362328e-02,5.0925946830e+05,,1,,,,,,
69,2,0,-2.5725229789e-08,-1.3106114790e-02,5.0925945573e+05,,1,,,,,,
69,3,0,-1.7796933903e-08,-9.0654669192e-03,4.4346399151e+05,,1,,,,,,
70,0,0,-4.4050179650e-09,-2.2415515988e-03,5.0950229973e+05,,1,,,,,,
70,1,0,1.0292835005e-08,5.2459880257e-03,5.0937714209e+05,,1,,,,,,
70,2,0,2.1469094647e-08,1.0938243893e-02,5.0928203187e+05,,1,,,,,,
70,3,0,2.5507973786e-08,1.2995041634e-02,5.0924767361e+05,,1,,,,,,
71,0,0,2.1316487072e-08,1.0858785538e-02,3.5844684040e+05,,1,,,,,,
71,1,0,1.0175762991e-08,5.1814975033e-03,5.0955331354e+05,,1,,,,,,
71,2,0,-4.4893468464e-09,-2.2901388526e-03,5.0942839652e+05,,1,,,,,,
71,3,0,-1.7695636829e-08,-9.0169061129e-03,5.0931598180e+05,,1,,,,,,
72,0,0,-2.5036647171e-08,-1.2755464355e-02,5.0925352472e+05,,1,,,,,,
72,1,0,-2.4384301835e-08,-1.2422976255e-02,2.7791918269e+05,,1,,,,,,
72,2,0,-1.5930901273e-08,-8.1147776506e-03,4.7025180025e+05,,1,,,,,,
72,3,0,-2.2188917847e-09,-1.1279190575e-03,5.0948954347e+05,,1,,,,,,
73,0,0,1.2033936679e-08,6.1327509966e-03,5.0936818287e+05,,1,,,,,,
73,1,0,2.1913821405e-08,1.1164706215e-02,5.0928410646e+05,,1,,,,,,
73,2,0,2.4404155542e-08,1.2432930324e-02,5.0926292044e+05,,1,,,,,,
73,3,0,1.9066966709e-08,9.7127764203e-03,3.8451449963e+05,,1,,,,,,
74,0,0,7.7260150425e-09,3.9335776447e-03,5.0954184510e+05,,1,,,,,,
74,1,0,-5.9931761286e-09,-3.0560227216e-03,5.0942499024e+05,,1,,,,,,
74,2,0,-1.7443690193e-08,-8.8885147017e-03,5.0932751870e+05,,1,,,,,,
74,3,0,-2.2942159771e-08,-1.1688832118e-02,5.0928073269e+05,,1,,,,,,
75,0,0,-2.1120453147e-08,-1.0760352061e-02,3.0452629719e+05,,1,,,,,,
75,1,0,-1.2732495342e-08,-6.4855899891e-03,4.9457761358e+05,,1,,,,,,
75,2,0,-5.3519964101e-10,-2.7058055184e-04,5.0949304252e+05,,1,,,,,,
