strain,stress
-7.04666135220801e-09,-3.591053460055845
-7.81320410806509e-09,-3.9817298525931832
-7.182080749406382e-09,-3.6600635726047988
-6.281977270798973e-09,-3.201308194720264
-6.2628326029071535e-09,-3.1915515510406705
-6.9739655767676026e-09,-3.5539960714339673
-7.190388491740297e-09,-3.664300226882022
-6.086363266280066e-09,-3.1016101032648047
-4.263397776067892e-09,-2.1725111275979048
-3.1524280800645633e-09,-1.6063096220352147
-3.4467007752137e-09,-1.756292865558998
-4.324857269785888e-09,-2.203863695026037
-4.359999333289429e-09,-2.2217737923672054
-3.1377667948616564e-09,-1.5988376471659749
-1.7860614703398956e-09,-0.9099583924745426
-1.7595378783610946e-09,-0.8964490703585153
-3.120839613064147e-09,-1.5902642291011477
-4.19623273678588e-09,-2.138355111162534
-3.1353116639229507e-09,-1.5976336073939437
7.877166017745266e-11,0.04041811860731968
3.199270101193254e-09,1.6306899792444665
3.4368984595611734e-09,1.751766970216349
-1.5513286653322673e-10,-0.07896699212633901
-5.7660473446867025e-09,-2.938554710969252
-1.0180018290652647e-08,-5.188036729399105
-1.1208442484387986e-08,-5.712139270142365
-9.179277438681703e-09,-4.677935008479925
-6.374174347044828e-09,-3.248285055593169
-5.048753597957918e-09,-2.5727813068355174
-5.7616433693240444e-09,-2.936121572474277
-7.325122231919514e-09,-3.732976684862689
-8.198685125825449e-09,-4.1781995526468405
-7.911912814606379e-09,-4.0320393713078575
-7.2296561980021194e-09,-3.6843127052925047
-7.092953359916645e-09,-3.6146395325679923
-7.561169808502902e-09,-3.8532767186961356
-7.853704303446321e-09,-4.00237315681745
-7.330701582624203e-09,-3.7358128922026297
-6.249257885543616e-09,-3.1846349427264347
-5.4686029190455904e-09,-2.7867626862703894
-5.514962850495672e-09,-2.8103919664628183
-6.0984001457218024e-09,-3.1077537325826907
-6.5465146349941535e-09,-3.3361443225117755
-6.513277983784351e-09,-3.3192042816797316
-6.105606517245793e-09,-3.111425251617283
-5.45731556594808e-09,-2.78101037141568
-4.540501975987762e-09,-2.313751516778462
-3.5734405269617053e-09,-1.8208926765499789
-3.3335815462508966e-09,-1.6986510870067744
-4.5503414230617134e-09,-2.3187987055265924
-6.75512191490297e-09,-3.442497333957128
-8.04129566280852e-09,-4.098005810046039
-6.5283859884364266e-09,-3.3269198216018347
-2.3671856953768266e-09,-1.2061350556005717
1.874138639749511e-09,0.9553749739421226
3.1975519695549254e-09,1.6298129177634049
7.974231141323192e-10,0.40654132648619934
-3.246600883560271e-09,-1.6545218674702986
-5.896451785961194e-09,-3.0050009390242125
-5.788502135577807e-09,-2.9499723939655085
-4.089911070968682e-09,-2.084253132803486
-3.0323324384579068e-09,-1.5452437619311863
-3.800386882373059e-09,-1.9366998576168009
-5.7133476070719355e-09,-2.9116729627192828
-7.0734610259663025e-09,-3.604847136412125
-6.601905387537579e-09,-3.3645069946066175
-4.316210035032692e-09,-2.1995625702555253
-1.4950324611540499e-09,-0.7617285102036943
7.578603267455875e-11,0.03883727474424537
-7.629055077586295e-10,-0.38862047833168256
-3.610217318048547e-09,-1.8397955774962225
-6.5857079164947306e-09,-3.3562650042715596
-7.717446039563975e-09,-3.933042742138203
-6.661785323718256e-09,-3.3950022828858932
-5.084550787325837e-09,-2.591138502933178
-5.0783398458526595e-09,-2.5879758556630468
-7.014017697466855e-09,-3.5745307813346434
-9.025658894485369e-09,-4.599745356081197
-8.777278583294604e-09,-4.473140751130819
-5.771817941910542e-09,-2.941359674310362
-1.870585944205686e-09,-0.9530871391042741
4.105278616940231e-10,0.2094605527531181
-2.7809018134526057e-12,-0.0011958707689141523
-2.241884868974969e-09,-1.1423941404813533
-4.6614983247829494e-09,-2.37557014625357
-6.1275322848192325e-09,-3.1227353275151852
-6.293568938488588e-09,-3.2073533474033002
-5.269917825132709e-09,-2.68562753603509
-3.6037250722367883e-09,-1.8364253279575482
-2.475365004454415e-09,-1.2613444582918483
-3.179372924931554e-09,-1.6201579016006207
-5.784810458338601e-09,-2.9480607609732776
-8.406647161606972e-09,-4.284271032794871
-8.46313223614907e-09,-4.3130435803466325
-5.175109110108132e-09,-2.6372506832037717
-7.549854806172221e-10,-0.38453157652695713
1.3070008966829214e-09,0.666333830347824
-5.823891709363373e-10,-0.2966318549428345
-4.657582042231164e-09,-2.373588367397144
-7.529602372198083e-09,-3.8372987677749433
-7.274463046014352e-09,-3.7072520314092587
-4.767689407853501e-09,-2.429632550199312
-2.268281179657797e-09,-1.1557914652555688
-1.1860427370915266e-09,-0.6042285734783343
-1.4061879442920193e-09,-0.7164309715972177
-2.307181406301022e-09,-1.1756413609034753
-3.64573195033225e-09,-1.8578561110880611
-5.147815797473557e-09,-2.62341000215449
-5.811625611172536e-09,-2.9617253098037084
-4.536472109608472e-09,-2.3118161231220435
-1.768834415661885e-09,-0.9012524275738827
6.76466944178966e-11,0.0347085943450693
-1.3520486433547826e-09,-0.6888690211981718
-5.497620593519836e-09,-2.8017018775981706
-8.82838738270344e-09,-4.499207272030385
-8.037794361925587e-09,-4.096256492005635
-3.542218118156533e-09,-1.8050359752321081
6.666281856996015e-10,0.3399777306265137
9.30130166958761e-10,0.47424986807809344
-2.4595501693316194e-09,-1.253352974515709
-5.761590548728077e-09,-2.9362455134862464
-5.7534433328261425e-09,-2.932079660098041
-2.821730923405723e-09,-1.437885000769111
-5.6342634449310387e-11,-0.028490956781019802
2.3013267460165457e-10,0.11750582812122783
-1.4590292766005538e-09,-0.7434089013865426
-3.122218592841685e-09,-1.5910752513465716
-3.844395363381444e-09,-1.9591387864315597
-4.424128899288714e-09,-2.2546034378850335
-5.609503261263771e-09,-2.858732450530951
-6.574058488333753e-09,-3.3503151410243834
-5.828068208653622e-09,-2.9701045070487857
-3.4830542631729145e-09,-1.7749298794494994
-1.8457021304325982e-09,-0.940439406405694
-3.2087880271596195e-09,-1.6351649796502632
-7.172351356669357e-09,-3.655230019505129
-1.0632152357182896e-08,-5.418451119428188
-1.0661434672263188e-08,-5.433346975645657
-7.2783931519117495e-09,-3.709128236428769
-3.269989953166932e-09,-1.6662423635074273
-1.4936623484329236e-09,-0.7609556996391217
-2.5838768346299947e-09,-1.3166071662416885
-5.093670255077487e-09,-2.595760150914713
-7.252660812451692e-09,-3.6961015880786183
-8.17803547212116e-09,-4.16771829752449
-7.723020329515314e-09,-3.935809392163144
-6.003946994349071e-09,-3.0596515474796186
-3.5931540505795143e-09,-1.830965367854452
-1.8259463989961621e-09,-0.930303705844939
-2.083947646206359e-09,-1.0618041054534715
-4.29716637153681e-09,-2.189810477737703
-6.412420898798737e-09,-3.2678697293765477
-5.957839842229084e-09,-3.036178830279946
-2.496701568755704e-09,-1.2721594400495475
1.5524372974308118e-09,0.7914281710320353
2.8150605927547103e-09,1.43488828006992
-8.560301439424704e-11,-0.043487581955448065
-5.2813451093716075e-09,-2.6915095206118638
-9.192029392478268e-09,-4.684529086606928
-9.309965981127263e-09,-4.7446103996602425
-5.828073332168726e-09,-2.97001097419369
-1.107791947369792e-09,-0.5643237148298831
2.113499130855894e-09,1.077354386860639
2.2921658011815926e-09,1.168392723592981
-3.2913701858384645e-10,-0.16760001593686663
-4.048573617499934e-09,-2.06322964424871
-6.667898715666281e-09,-3.398149400870515
-6.7457691516567846e-09,-3.4378237881921025
-4.505594652032712e-09,-2.2960779983734696
-1.6910848230650635e-09,-0.8616395790561097
-3.366314629325395e-10,-0.17134217389018655
-1.3733323396626819e-09,-0.6997193769694966
-4.1530710214168214e-09,-2.116453032305116
-7.104468863163008e-09,-3.62064155225801
-8.803536041275004e-09,-4.48654137137652
-8.683541321606475e-09,-4.425376073760505
-7.1963278145945785e-09,-3.6673882397707724
-5.5812734926984585e-09,-2.8442536082982026
-5.262233380658601e-09,-2.68165270539594
-6.893049965413822e-09,-3.5128315649839448
-9.567801056666785e-09,-4.876031962179292
-1.1080454465685397e-08,-5.646914193860082
-9.511673934971872e-09,-4.847352629078332
-5.070592286463375e-09,-2.5839154135101117
-4.2828355034719333e-10,-0.21800353139717304
1.1664929711606328e-09,0.5947408531814979
-1.3875960290591618e-09,-0.7069987018153124
-5.912350793406794e-09,-3.0130624807567408
-8.599491770385959e-09,-4.382539321778043
-7.1133280279075825e-09,-3.6250848778792557
-2.45876134571331e-09,-1.252843533856095
1.9441279736097573e-09,0.9910426018078536
3.055724302615149e-09,1.5575349979883324
4.725518594507608e-10,0.24097266567751274
-3.5612724302694126e-09,-1.8148893708387375
-6.103092772415725e-09,-3.1103101961658783
-5.708549810280393e-09,-2.909216598704483
-3.269950313091415e-09,-1.66634323936918
-1.0886473305248364e-09,-0.5546251125203028
-1.0159701931215906e-09,-0.5175906781641775
-3.04196712889141e-09,-1.5501780572262267
-5.36091585354724e-09,-2.7320540944618465
-5.897840353464327e-09,-3.005699385351437
-4.129043144428535e-09,-2.104196133038893
-1.6398580130312524e-09,-0.8355533599265615
-7.804956485952895e-10,-0.39757475415505705
-2.485135998362529e-09,-1.2663796427968959
-5.287129018538141e-09,-2.6944480920874265
-6.620616023941704e-09,-3.3740591758274228
-5.283679690099298e-09,-2.6926612122589293
-2.625322125408246e-09,-1.3377936755871167
-1.1666207856981511e-09,-0.5943587557274369
-2.010148326211139e-09,-1.024281275563737
-3.761810824803444e-09,-1.9170460203821813
-4.164499920339381e-09,-2.122280963168215
-2.7118007051494432e-09,-1.3818826803396296
-1.342102633389148e-09,-0.6837952185673444
-2.321585368199097e-09,-1.1830100578992269
-5.549406744076155e-09,-2.828112463927942
-8.315058366332198e-09,-4.237602295274536
-7.962264945599716e-09,-4.057780659581958
-4.677172257783385e-09,-2.3834842164086583
-1.352579752008272e-09,-0.6890991122398051
-6.221238019220239e-10,-0.31682733876038766
-2.2637413885988504e-09,-1.1535114348807538
-3.731723916176721e-09,-1.9016899242620393
-3.0711760347415507e-09,-1.5650268094382451
-9.021846447053068e-10,-0.45956347708964346
5.681491772060887e-10,0.28978444359382666
6.717122589334541e-11,0.03444958347268435
-1.6726058115794975e-09,-0.852259906371591
-3.228256193458338e-09,-1.6451158121075267
-4.194663367883046e-09,-2.1376520678221103
-5.107142269160845e-09,-2.6027000419333057
-5.969609812465325e-09,-3.0422565613282755
-5.657726616901688e-09,-2.883296153158372
-3.24073307703985e-09,-1.651432919586201
3.91467570201927e-10,0.1997389666357467
2.804322388121091e-09,1.4294133679891636
2.1435300686999687e-09,1.0926219994068267
-1.2012158164998954e-09,-0.6120757544182275
-5.151977950670116e-09,-2.6255819755703937
-7.89673759295089e-09,-4.024412969057844
-9.032175044587573e-09,-4.603064974961642
-9.005015717667638e-09,-4.589217673863144
-8.084223810390325e-09,-4.1199162674874295
-6.337279374472914e-09,-3.2295575724454526
-4.388118992656338e-09,-2.2361503269321714
-3.5257964089170426e-09,-1.79666455571926
-4.610239514870148e-09,-2.349374525413419
-6.951999706873709e-09,-3.5428877366611813
-8.628372167517933e-09,-4.3972629248114
-8.140522437129358e-09,-4.14861813571249
-5.788232682094979e-09,-2.9497334464131235
-3.38963640328248e-09,-1.727270390750335
-2.628663042887063e-09,-1.3394404348598623
-3.5634959300249037e-09,-1.8158985826110388
-4.567479068709838e-09,-2.3275968672224274
-3.707283666944335e-09,-1.8891792302829598
