strain,stress
-4.263397776067892e-09,-0.0021725111275979047
-3.1524280800645633e-09,-0.0016063096220352146
-3.4467007752137e-09,-0.001756292865558998
-4.324857269785888e-09,-0.002203863695026037
-4.359999333289429e-09,-0.0022217737923672055
-3.1377667948616564e-09,-0.001598837647165975
-1.7860614703398956e-09,-0.0009099583924745425
-1.7595378783610946e-09,-0.0008964490703585152
-3.120839613064147e-09,-0.0015902642291011476
-4.19623273678588e-09,-0.0021383551111625342
-3.1353116639229507e-09,-0.0015976336073939437
7.877166017745266e-11,4.0418118607319677e-05
3.199270101193254e-09,0.0016306899792444664
3.4368984595611734e-09,0.001751766970216349
-1.5513286653322673e-10,-7.896699212633901e-05
-5.7660473446867025e-09,-0.0029385547109692517
-1.0180018290652647e-08,-0.005188036729399105
-1.1208442484387986e-08,-0.005712139270142365
-9.179277438681703e-09,-0.004677935008479925
-6.374174347044828e-09,-0.003248285055593169
-5.048753597957918e-09,-0.0025727813068355176
-5.7616433693240444e-09,-0.002936121572474277
-7.325122231919514e-09,-0.003732976684862689
-8.198685125825449e-09,-0.00417819955264684
-7.911912814606379e-09,-0.004032039371307857
-7.2296561980021194e-09,-0.003684312705292505
-7.092953359916645e-09,-0.003614639532567992
-7.561169808502902e-09,-0.0038532767186961357
-7.853704303446321e-09,-0.00400237315681745
-7.330701582624203e-09,-0.0037358128922026297
-6.249257885543616e-09,-0.0031846349427264347
-5.4686029190455904e-09,-0.0027867626862703894
-5.514962850495672e-09,-0.0028103919664628184
-6.0984001457218024e-09,-0.0031077537325826907
-6.5465146349941535e-09,-0.0033361443225117756
-6.513277983784351e-09,-0.0033192042816797317
-6.105606517245793e-09,-0.003111425251617283
-5.45731556594808e-09,-0.0027810103714156803
-4.540501975987762e-09,-0.002313751516778462
-3.5734405269617053e-09,-0.001820892676549979
-3.3335815462508966e-09,-0.0016986510870067744
-4.5503414230617134e-09,-0.0023187987055265924
-6.75512191490297e-09,-0.003442497333957128
-8.04129566280852e-09,-0.004098005810046039
-6.5283859884364266e-09,-0.0033269198216018345
-2.3671856953768266e-09,-0.0012061350556005716
1.874138639749511e-09,0.0009553749739421225
3.1975519695549254e-09,0.0016298129177634048
7.974231141323192e-10,0.00040654132648619936
-3.246600883560271e-09,-0.0016545218674702987
-5.896451785961194e-09,-0.0030050009390242124
-5.788502135577807e-09,-0.0029499723939655086
-4.089911070968682e-09,-0.002084253132803486
-3.0323324384579068e-09,-0.0015452437619311863
-3.800386882373059e-09,-0.0019366998576168008
-5.7133476070719355e-09,-0.002911672962719283
-7.0734610259663025e-09,-0.003604847136412125
-6.601905387537579e-09,-0.0033645069946066173
-4.316210035032692e-09,-0.002199562570255525
-1.4950324611540499e-09,-0.0007617285102036942
7.578603267455875e-11,3.8837274744245374e-05
-7.629055077586295e-10,-0.0003886204783316826
-3.610217318048547e-09,-0.0018397955774962225
-6.5857079164947306e-09,-0.0033562650042715594
-7.717446039563975e-09,-0.003933042742138203
-6.661785323718256e-09,-0.0033950022828858934
-5.084550787325837e-09,-0.002591138502933178
-5.0783398458526595e-09,-0.0025879758556630467
-7.014017697466855e-09,-0.0035745307813346435
-9.025658894485369e-09,-0.004599745356081197
-8.777278583294604e-09,-0.004473140751130819
-5.771817941910542e-09,-0.002941359674310362
-1.870585944205686e-09,-0.0009530871391042741
4.105278616940231e-10,0.0002094605527531181
-2.7809018134526057e-12,-1.1958707689141524e-06
-2.241884868974969e-09,-0.0011423941404813532
-4.6614983247829494e-09,-0.00237557014625357
-6.1275322848192325e-09,-0.0031227353275151853
-6.293568938488588e-09,-0.0032073533474033
-5.269917825132709e-09,-0.00268562753603509
-3.6037250722367883e-09,-0.0018364253279575483
-2.475365004454415e-09,-0.0012613444582918482
-3.179372924931554e-09,-0.0016201579016006207
-5.784810458338601e-09,-0.0029480607609732776
-8.406647161606972e-09,-0.004284271032794871
-8.46313223614907e-09,-0.004313043580346633
-5.175109110108132e-09,-0.0026372506832037716
-7.549854806172221e-10,-0.0003845315765269571
1.3070008966829214e-09,0.000666333830347824
-5.823891709363373e-10,-0.0002966318549428345
-4.657582042231164e-09,-0.0023735883673971442
-7.529602372198083e-09,-0.0038372987677749433
-7.274463046014352e-09,-0.0037072520314092587
-4.767689407853501e-09,-0.002429632550199312
-2.268281179657797e-09,-0.0011557914652555686
-1.1860427370915266e-09,-0.0006042285734783342
-1.4061879442920193e-09,-0.0007164309715972177
-2.307181406301022e-09,-0.0011756413609034753
-3.64573195033225e-09,-0.0018578561110880612
