time_s,acc_m_s2
1.658499999999964558e+01,-5.517828782245965957e-01
1.658999999999964814e+01,-1.330016276520480933e-01
1.659499999999964714e+01,3.441959597815573146e-01
1.659999999999964615e+01,8.287870545498974284e-01
1.660499999999964515e+01,1.180653374348978879e+00
1.660999999999964416e+01,1.195416723022268979e+00
1.661499999999964672e+01,8.131993403430388678e-01
1.661999999999964572e+01,2.294147238745694040e-01
1.662499999999964473e+01,-2.684791620305176374e-01
1.662999999999964729e+01,-5.557057575993570309e-01
1.663499999999964629e+01,-6.791470164496020701e-01
1.663999999999964530e+01,-6.986607847380255087e-01
1.664499999999964430e+01,-6.586326382983420658e-01
1.664999999999964331e+01,-6.436758249164505896e-01
1.665499999999964587e+01,-7.775313727275300346e-01
1.665999999999964487e+01,-1.201167519630051084e+00
1.666499999999964388e+01,-2.004968649364311073e+00
1.666999999999964643e+01,-3.084430532965671379e+00
1.667499999999964544e+01,-4.152191216911536031e+00
1.667999999999964444e+01,-4.947566867193126328e+00
1.668499999999964345e+01,-5.402315717999165656e+00
1.668999999999964245e+01,-5.636736068443446435e+00
1.669499999999964501e+01,-5.841770178266435742e+00
1.669999999999964402e+01,-6.097716964909955628e+00
1.670499999999964302e+01,-6.243846795056360754e+00
1.670999999999964558e+01,-6.008776110733341724e+00
1.671499999999964459e+01,-5.331014689267190576e+00
1.671999999999964359e+01,-4.518752484882756271e+00
1.672499999999964260e+01,-3.973171424270510510e+00
1.672999999999964160e+01,-3.758623776390035864e+00
1.673499999999964416e+01,-3.598708022453180444e+00
1.673999999999964317e+01,-3.300732927879905798e+00
1.674499999999964217e+01,-2.984035721451366197e+00
1.674999999999964473e+01,-2.884069976371850696e+00
1.675499999999964373e+01,-3.084969271090071352e+00
1.675999999999964274e+01,-3.434846973787461177e+00
1.676499999999964174e+01,-3.618903005859261057e+00
1.676999999999964075e+01,-3.335206395647316580e+00
1.677499999999964331e+01,-2.505296669559320843e+00
1.677999999999964231e+01,-1.352041131368270976e+00
